Province,Age,Gender,Education,Employment,Income_Group,Weight,Rel_Satisfaction,Online_Contact_Freq,SM_Interfere_Rel,SM_Interfere_Life,SM_Anxious_Envious,SM_AI_Chatbot,SM_AI_Email,Household_Type,Online_Shopping
Quebec,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",1714.671283037,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",623.905358672,Somewhat satisfied,Everyday,Yes,Yes,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",1433.485616567,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),,"$72,367 – $107,480",2126.914638797,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
British Columbia,45–54 years,Female,High school or less,Employed,"≤ $42,256",1242.234873418,Somewhat satisfied,A few times a week,No,Yes,No,Yes,No,Single-person household,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1237.700485584,,,,,,,,Single-person household,
Quebec,65 years and over,Female,High school or less,Not employed,"≤ $42,256",2262.265923629,,,,,,,,Single-person household,
British Columbia,55–64 years,Male,University degree,Employed,"$107,481 – $163,750",1667.473869196,Neutral,A few times a week,No,No,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Nova Scotia,55–64 years,Male,University degree,Not employed,"$42,257 – $72,366",480.969265416,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,55–64 years,Female,High school or less,Not employed,"$42,257 – $72,366",342.649570877,,,,,,,,Family without children <18,
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",2569.200252615,Somewhat dissatisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Employed,"$72,367 – $107,480",501.21231996,Completely satisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Did not shop online
Nova Scotia,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",648.36595809,Somewhat satisfied,Once a week,No,No,Yes,Yes,Yes,Single-person household,Did not shop online
Ontario,35–44 years,Male,University degree,Employed,"≥ $163,751",2271.033150959,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,High school or less,Not employed,"≥ $163,751",1824.841040193,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",1542.379537689,Neutral,Once a week,No,No,No,Yes,No,Single-person household,Did not shop online
Prince Edward Island,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",176.299097454,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
New Brunswick,35–44 years,Female,High school or less,Employed,"$107,481 – $163,750",363.153131714,Somewhat satisfied,Everyday,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,University degree,Not employed,"≥ $163,751",1150.857126329,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Alberta,55–64 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",1332.876296166,Completely satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,45–54 years,Female,High school or less,Employed,"≥ $163,751",411.93871152,Somewhat satisfied,Once a week,No,No,No,No,Yes,Family without children <18,Did not shop online
Ontario,25–34 years,Male,University degree,Employed,"≤ $42,256",6336.334029458,Neutral,Everyday,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,65 years and over,Female,University degree,Not employed,"$107,481 – $163,750",355.763794799,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$72,367 – $107,480",361.096139782,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Saskatchewan,65 years and over,Female,High school or less,Not employed,"$107,481 – $163,750",210.864499796,Neutral,,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,55–64 years,Female,High school or less,Not employed,"$42,257 – $72,366",558.591259966,Completely satisfied,Everyday,No,Yes,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,35–44 years,Male,,,"$107,481 – $163,750",1408.106219167,,,,,,,,Family with children <18,
Ontario,15–24 years,Female,University degree,Employed,"≥ $163,751",2898.352254748,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Manitoba,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",344.746617288,Neutral,,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,45–54 years,Female,University degree,Employed,"≥ $163,751",2193.410151416,Completely satisfied,A few times a week,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1759.787687905,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,High school or less,Not employed,"$107,481 – $163,750",483.255047999,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Nova Scotia,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",504.729416098,Somewhat dissatisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
British Columbia,55–64 years,Male,University degree,Employed,"≥ $163,751",1667.473869196,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
British Columbia,45–54 years,Male,High school or less,Not employed,"≤ $42,256",1904.562025587,Completely satisfied,,Yes,No,Yes,No,No,Single-person household,Online shopper (≥ $1)
Quebec,35–44 years,Female,University degree,Employed,"$42,257 – $72,366",1506.986606041,Completely satisfied,Everyday,No,No,Yes,No,No,Single-person household,Did not shop online
Ontario,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",1824.841040193,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Male,High school or less,Employed,"$42,257 – $72,366",442.009258087,Somewhat satisfied,A few times a week,Yes,No,No,No,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",396.561015007,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Male,High school or less,Not employed,"≤ $42,256",123.023212965,,,,,,,,Single-person household,
Quebec,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",1456.796744974,Somewhat dissatisfied,Everyday,,,,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",788.831029096,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,High school or less,Employed,"$72,367 – $107,480",898.842027908,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Did not shop online
Saskatchewan,45–54 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",540.933979049,Somewhat dissatisfied,Everyday,Yes,No,Yes,Yes,Yes,Single-person household,Did not shop online
Manitoba,55–64 years,Female,High school or less,Not employed,"≤ $42,256",554.201566599,Completely satisfied,,No,No,Yes,Yes,Yes,Single-person household,Did not shop online
Saskatchewan,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",454.15565612,Completely satisfied,,No,No,No,No,Yes,Single-person household,Did not shop online
Quebec,65 years and over,Male,High school or less,Not employed,"$72,367 – $107,480",716.52207702,Neutral,Once a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Manitoba,35–44 years,Male,University degree,Employed,"$72,367 – $107,480",822.505433236,Neutral,A few times a week,No,Yes,Yes,No,Yes,Family with children <18,Online shopper (≥ $1)
Alberta,55–64 years,Male,University degree,Employed,"≤ $42,256",2165.757548582,Completely satisfied,Everyday,No,No,No,No,Yes,Single-person household,Did not shop online
Quebec,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",726.09632685,Somewhat satisfied,Once a month,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,High school or less,Not employed,"$72,367 – $107,480",1094.495992027,Completely satisfied,2–3 times a month,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
British Columbia,65 years and over,Female,High school or less,Employed,"$42,257 – $72,366",600.426843738,Somewhat satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Alberta,55–64 years,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1653.397884061,Somewhat satisfied,,No,No,No,No,Yes,Family without children <18,Did not shop online
Quebec,65 years and over,Male,High school or less,Employed,"$72,367 – $107,480",529.362566942,Neutral,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",1091.470036949,,,,,,,,Single-person household,
Saskatchewan,65 years and over,Female,High school or less,Not employed,"≤ $42,256",616.469788455,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
Quebec,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",812.764779061,Somewhat satisfied,Everyday,Yes,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Ontario,15–24 years,Female,High school or less,Employed,"≥ $163,751",4683.476321529,Somewhat satisfied,A few times a week,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,University degree,Employed,"$72,367 – $107,480",3059.878655417,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1913.08666107,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Ontario,65 years and over,Male,High school or less,Employed,"≥ $163,751",620.941213072,Somewhat satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Newfoundland and Labrador,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",276.845712807,Completely satisfied,Not in the past month,No,No,No,No,No,Family with children <18,Did not shop online
British Columbia,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",4356.283223571,Somewhat dissatisfied,A few times a week,Yes,No,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,High school or less,Employed,"≥ $163,751",697.340525263,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Male,University degree,Employed,"≤ $42,256",115.043391574,Neutral,Once a month,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",238.868669728,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Manitoba,25–34 years,Male,University degree,Not employed,"$42,257 – $72,366",1165.986055199,Completely satisfied,Everyday,No,No,Yes,Yes,No,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"≥ $163,751",1988.061070934,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Manitoba,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"≥ $163,751",826.346487412,Completely satisfied,Everyday,No,No,No,Yes,No,Family with children <18,Online shopper (≥ $1)
Quebec,65 years and over,Male,University degree,Not employed,"$72,367 – $107,480",1114.009144721,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,15–24 years,Male,High school or less,Employed,"$107,481 – $163,750",3583.601400686,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Saskatchewan,25–34 years,Male,University degree,Employed,"$107,481 – $163,750",701.656322513,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Family with children <18,Did not shop online
Quebec,65 years and over,Female,University degree,Not employed,"≤ $42,256",510.905399604,Somewhat satisfied,A few times a week,No,No,No,No,Yes,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1415.966183795,Completely satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,University degree,Employed,"≥ $163,751",3804.753712697,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Alberta,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"≤ $42,256",1710.242855673,Somewhat satisfied,A few times a week,No,No,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,55–64 years,Female,High school or less,Employed,"$42,257 – $72,366",357.4556132,Completely satisfied,Not in the past month,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Female,University degree,Not employed,"≥ $163,751",1146.568591401,,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,65 years and over,Female,University degree,Not employed,"$42,257 – $72,366",204.068816415,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Nova Scotia,65 years and over,Male,University degree,Not employed,"$107,481 – $163,750",389.944691494,Neutral,Once a week,No,No,No,No,No,Family without children <18,Did not shop online
Alberta,45–54 years,Female,,,"≥ $163,751",1638.409929334,Somewhat satisfied,A few times a week,No,No,No,,,Family with children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,High school or less,Not employed,"≥ $163,751",795.635082448,,,,,,,,Single-person household,
Ontario,65 years and over,Female,High school or less,Not employed,"$107,481 – $163,750",924.867092652,,,,,,,,Single-person household,
Ontario,45–54 years,Female,High school or less,Not employed,"≤ $42,256",1453.192180621,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Did not shop online
New Brunswick,65 years and over,Male,High school or less,Not employed,"≤ $42,256",463.724531785,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",3447.422721365,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,45–54 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1224.095489061,Somewhat dissatisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Male,University degree,Not employed,"≥ $163,751",1232.968166203,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,35–44 years,Female,University degree,Employed,"$72,367 – $107,480",3394.978143688,Neutral,Everyday,No,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
British Columbia,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",646.211624207,Completely satisfied,Not in the past month,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,35–44 years,Male,University degree,Employed,"$72,367 – $107,480",646.469579625,Somewhat dissatisfied,2–3 times a month,Yes,Yes,Yes,No,No,Single-person household,Online shopper (≥ $1)
Quebec,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",701.347670223,Neutral,A few times a week,No,No,No,Yes,No,Single-person household,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1030.300584996,Completely satisfied,Once a week,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,University degree,Not employed,"$107,481 – $163,750",1725.526323611,Completely satisfied,A few times a week,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,55–64 years,Female,High school or less,Employed,"$107,481 – $163,750",804.671813311,Neutral,Everyday,Yes,Yes,Yes,No,Yes,Single-person household,Online shopper (≥ $1)
New Brunswick,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"$107,481 – $163,750",498.150847631,Completely satisfied,A few times a week,No,No,No,No,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,University degree,Employed,"$107,481 – $163,750",2630.755091068,Neutral,Once a week,No,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Alberta,25–34 years,Male,High school or less,Employed,"$107,481 – $163,750",1828.904715018,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Quebec,25–34 years,Male,University degree,Employed,"$107,481 – $163,750",1604.348265219,Neutral,Everyday,Yes,No,Yes,Yes,No,Family with children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",3059.878655417,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,15–24 years,Male,High school or less,Employed,"$72,367 – $107,480",1517.520461746,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,High school or less,Not employed,"≤ $42,256",241.05217689,,,,,,,,Single-person household,
Ontario,65 years and over,Male,High school or less,Not employed,"$42,257 – $72,366",860.518492911,Completely satisfied,,No,No,No,No,No,Family with children <18,Did not shop online
Prince Edward Island,55–64 years,Male,High school or less,Not employed,"$72,367 – $107,480",51.994029952,Somewhat satisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Prince Edward Island,25–34 years,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",403.404124465,Completely satisfied,A few times a week,No,No,No,No,No,,Online shopper (≥ $1)
British Columbia,25–34 years,Male,High school or less,Employed,"$107,481 – $163,750",1408.106219167,Somewhat satisfied,Everyday,No,Yes,Yes,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,University degree,Not employed,"$72,367 – $107,480",1322.559819765,Completely satisfied,,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Manitoba,45–54 years,Male,University degree,Employed,"$107,481 – $163,750",635.265317944,Neutral,Everyday,No,No,Yes,Yes,Yes,Family with children <18,Did not shop online
British Columbia,25–34 years,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",1236.110416154,Completely satisfied,A few times a week,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Male,High school or less,Not employed,"≤ $42,256",3982.545091573,Somewhat satisfied,A few times a week,No,No,No,Yes,No,Family without children <18,Did not shop online
Manitoba,45–54 years,Female,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",879.431256833,Somewhat satisfied,Everyday,Yes,Yes,Yes,No,No,Family with children <18,Online shopper (≥ $1)
New Brunswick,65 years and over,Female,Some post-secondary (incl. certificate),Employed,"≤ $42,256",534.328296565,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Did not shop online
Alberta,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",1638.409929334,Completely satisfied,Everyday,Yes,Yes,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
Quebec,45–54 years,Male,High school or less,Not employed,"≤ $42,256",2980.304242798,Completely satisfied,,No,No,No,No,No,Single-person household,Did not shop online
British Columbia,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",1060.933034191,Neutral,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Male,Some post-secondary (incl. certificate),Employed,"$72,367 – $107,480",697.340525263,Completely satisfied,Everyday,No,No,No,No,No,Family with children <18,Online shopper (≥ $1)
Manitoba,55–64 years,Female,University degree,Employed,"≥ $163,751",417.981501064,Completely satisfied,A few times a week,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Female,University degree,Employed,"$72,367 – $107,480",930.395127897,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
British Columbia,65 years and over,Female,University degree,Not employed,"≤ $42,256",588.204375909,Completely satisfied,,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,65 years and over,Female,University degree,Not employed,"≤ $42,256",1373.501969395,Completely satisfied,Not in the past month,Yes,Yes,No,No,No,Single-person household,Did not shop online
Quebec,55–64 years,Male,University degree,Employed,"≥ $163,751",1019.392684737,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Prince Edward Island,55–64 years,Female,High school or less,Not employed,"$72,367 – $107,480",60.844240957,,,,,,,,Family without children <18,
Ontario,65 years and over,Female,High school or less,Not employed,"≤ $42,256",1200.189813138,Completely satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,35–44 years,Male,Some post-secondary (incl. certificate),Employed,"≥ $163,751",688.134619434,Somewhat satisfied,A few times a week,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Alberta,65 years and over,Male,Some post-secondary (incl. certificate),Not employed,"≤ $42,256",815.577771969,Completely dissatisfied,A few times a week,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,55–64 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",898.842027908,Neutral,Everyday,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Ontario,35–44 years,Female,University degree,Employed,"≥ $163,751",2876.765700454,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"$42,257 – $72,366",818.671894135,Completely satisfied,,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Ontario,55–64 years,Male,University degree,Employed,"≥ $163,751",795.635082448,Somewhat satisfied,Everyday,No,No,No,No,Yes,Family without children <18,Did not shop online
Ontario,35–44 years,Female,University degree,Employed,"$107,481 – $163,750",1031.865114953,Completely satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Quebec,55–64 years,Female,High school or less,Employed,"$42,257 – $72,366",1737.847652312,Somewhat satisfied,A few times a week,No,No,No,No,No,Single-person household,Online shopper (≥ $1)
Quebec,45–54 years,Female,University degree,Employed,"$72,367 – $107,480",924.577090784,Somewhat satisfied,Everyday,No,Yes,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,25–34 years,Male,Some post-secondary (incl. certificate),Employed,"$107,481 – $163,750",1644.982138227,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Online shopper (≥ $1)
Nova Scotia,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",269.987831561,Completely satisfied,Everyday,No,No,No,No,No,Single-person household,Did not shop online
Quebec,35–44 years,Female,Some post-secondary (incl. certificate),Employed,"$42,257 – $72,366",1264.083653281,Neutral,Everyday,No,Yes,Yes,Yes,Yes,Single-person household,Online shopper (≥ $1)
Ontario,65 years and over,Female,High school or less,Not employed,"≤ $42,256",863.338180807,Completely satisfied,2–3 times a month,No,No,No,No,No,Single-person household,Did not shop online
Nova Scotia,65 years and over,Female,High school or less,Not employed,"≤ $42,256",358.492354984,Completely satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Online shopper (≥ $1)
Alberta,55–64 years,Male,University degree,Not employed,"≥ $163,751",1630.082785991,Somewhat satisfied,Everyday,No,No,No,Yes,No,Family without children <18,Did not shop online
Ontario,65 years and over,Female,Some post-secondary (incl. certificate),Not employed,"$42,257 – $72,366",1464.362311516,Completely satisfied,Everyday,No,No,No,,,Single-person household,Online shopper (≥ $1)
Quebec,55–64 years,Male,University degree,Employed,"≥ $163,751",648.426034571,Completely satisfied,Everyday,No,No,No,Yes,Yes,Family without children <18,Online shopper (≥ $1)
Ontario,25–34 years,Female,,,"≤ $42,256",1383.432116849,,,,,,,,Family with children <18,
Ontario,65 years and over,Male,High school or less,Not employed,"≤ $42,256",1551.551810974,Somewhat satisfied,Everyday,No,No,No,No,No,Family without children <18,Did not shop online
Ontario,25–34 years,Female,University degree,Employed,"≤ $42,256",2356.409131832,Somewhat satisfied,Everyday,No,No,No,Yes,Yes,Single-person household,Online shopper (≥ $1)
Manitoba,35–44 years,Female,University degree,Employed,"$42,257 – $72,366",897.979063364,Neutral,Everyday,No,Yes,Yes,Yes,Yes,,Online shopper (≥ $1)
Nova Scotia,55–64 years,Female,High school or less,Employed,"$42,257 – $72,366",407.056880648,Completely satisfied,2–3 times a month,No,No,No,No,No,Family without children <18,Did not shop online
British Columbia,35–44 years,Male,University degree,Employed,"≥ $163,751",1060.933034191,Completely satisfied,Everyday,No,No,Yes,Yes,Yes,Family with children <18,Online shopper (≥ $1)
